0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:35 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:36 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:36 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:36 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:36 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:36 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:36 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:15:01 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:15:01 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:15:01 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:15:01 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:16:09 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:16:09 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:16:09 +0900] "GET /myecsite/home.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:16:10 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
